Analysis for Water Usage on Mon Feb  2 23:49:44 SAST 2026
Device counts:
      1 12:46:39
      1 12:46:40
      1 12:46:41
      1 12:46:42
      1 12:46:43
      1 12:46:44
      1 12:46:45
      1 12:46:46
      1 12:46:47
      1 12:46:48
      1 12:46:49
      1 12:46:50
      1 12:46:51
      1 12:46:52
      1 12:46:53
      1 12:46:54
      1 12:46:55
      1 12:46:56
      1 12:46:57
      1 12:46:58
      1 12:46:59
      1 12:47:00
      1 12:47:01
      1 12:47:02
      1 12:47:03
      1 12:47:04
      1 12:47:05
      1 12:47:06
      1 12:47:07
      1 12:47:10
      1 12:47:11
      1 12:47:12
      1 12:47:13
      1 12:47:14
      1 12:47:15
      1 12:47:16
      1 12:47:17
      1 12:47:18
      1 12:47:19
      1 12:47:20
      1 12:47:21
      1 12:47:22
      1 12:47:23
      1 12:47:24
      1 12:47:25
      1 12:47:26
      1 12:47:27
      1 12:47:28
      1 12:47:29
      1 12:47:30
      1 12:47:31
      1 12:47:32
      1 12:47:33
      1 12:47:34
      1 12:47:35
      1 12:47:36
      1 12:47:37
      1 12:47:38
      1 12:47:39
      1 12:47:40
      1 12:47:41
      1 12:47:42
      1 12:47:45
      1 12:47:46
      1 12:47:47
      1 12:47:48
      1 12:47:49
      1 12:47:50
      1 12:47:51
      1 12:47:52
      1 12:47:53
      1 12:47:54
      1 12:47:55
      1 12:47:56
      1 12:47:57
      1 12:47:58
      1 12:47:59
      1 12:48:00
      1 12:48:01
      1 12:48:02
      1 12:48:03
      1 12:48:04
      1 12:48:05
      1 12:48:06
      1 12:48:07
      1 12:48:08
      1 12:48:09
      1 12:48:10
      1 12:48:11
      1 12:48:12
      1 12:48:13
      1 12:48:14
      1 12:48:15
      1 12:48:16
      1 12:48:19
      1 12:48:20
      1 12:48:21
      1 12:48:22
      1 12:48:23
      1 12:48:24
      1 12:48:25
      1 12:48:26
      1 12:48:27
      1 12:48:28
      1 12:48:29
      1 12:48:30
      1 12:48:31
      1 12:48:32
      1 12:48:33
      1 12:48:34
      1 12:48:35
      1 12:48:36
      1 12:48:37
      1 12:48:38
      1 12:48:39
      1 12:48:40
      1 12:48:41
      1 12:48:42
      1 12:48:43
      1 12:48:44
      1 12:48:45
      1 12:48:46
      1 12:48:47
      1 12:48:48
      1 12:48:49
      1 12:48:50
      1 12:48:53
      1 12:48:54
      1 12:48:55
      1 12:48:56
      1 12:48:57
      1 12:48:58
      1 12:48:59
      1 12:49:00
      1 12:49:01
      1 12:49:02
      1 12:49:03
      1 12:49:04
      1 12:49:05
      1 12:49:06
      1 12:49:07
      1 12:49:08
      1 12:49:09
      1 12:49:10
      1 12:49:11
      1 12:49:12
      1 12:49:13
      1 12:49:14
      1 12:49:15
      1 12:49:16
      1 12:49:17
      1 12:49:18
      1 12:49:19
      1 12:49:20
      1 12:49:21
      1 12:49:22
      1 12:49:23
      1 12:49:24
      1 12:49:27
      1 12:49:28
      1 12:49:29
      1 12:49:30
      1 12:49:31
      1 12:49:32
      1 12:49:33
      1 12:49:34
      1 12:49:35
      1 12:49:36
      1 12:49:37
      1 12:49:38
      1 12:49:39
      1 12:49:40
      1 12:49:41
      1 12:49:42
      1 12:49:43
      1 12:49:44
      1 12:49:45
      1 12:49:46
      1 12:49:47
      1 12:49:48
      1 12:49:49
      1 12:49:50
      1 12:49:51
      1 12:49:52
      1 12:49:53
      1 12:49:54
      1 12:49:55
      1 12:49:56
      1 12:49:57
      1 12:49:58
      1 12:49:59
      1 12:50:02
      1 12:50:03
      1 12:50:04
      1 12:50:05
      1 12:50:06
      1 12:50:07
      1 12:50:08
      1 12:50:09
      1 12:50:10
      1 12:50:11
      1 12:50:12
      1 12:50:13
      1 12:50:14
      1 12:50:15
      1 12:50:16
      1 12:50:17
      1 12:50:18
      1 12:50:19
      1 12:50:20
      1 12:50:21
      1 12:50:22
      1 12:50:23
      1 12:50:24
      1 12:50:25
      1 12:50:26
      1 12:50:27
      1 12:50:28
      1 12:50:29
      1 12:50:30
      1 12:50:31
      1 12:50:32
      1 12:50:33
      1 12:50:36
      1 12:50:37
      1 12:50:38
      1 12:50:39
      1 12:50:40
      1 12:50:41
      1 12:50:42
      1 12:50:43
      1 12:50:44
      1 12:50:45
      1 12:50:46
      1 12:50:47
      1 12:50:48
      1 12:50:49
      1 12:50:50
      1 12:50:51
      1 12:50:52
      1 12:50:53
      1 12:50:54
      1 12:50:55
      1 12:50:56
      1 12:50:57
      1 12:50:58
      1 12:50:59
      1 12:51:00
      1 12:51:01
      1 12:51:02
      1 12:51:03
      1 12:51:04
      1 12:51:05
      1 12:51:06
      1 12:51:07
      1 12:51:10
      1 12:51:11
      1 12:51:12
      1 12:51:13
      1 12:51:14
      1 12:51:15
      1 12:51:16
      1 12:51:17
      1 12:51:18
      1 12:51:19
      1 12:51:20
      1 12:51:21
      1 12:51:22
      1 12:51:23
      1 12:51:24
      1 12:51:25
      1 12:51:26
      1 12:51:27
      1 12:51:28
      1 12:51:29
      1 12:51:30
      1 12:51:31
      1 12:51:32
      1 12:51:33
      1 12:51:34
      1 12:51:35
      1 12:51:36
      1 12:51:37
      1 12:51:38
      1 12:51:39
      1 12:51:40
      1 12:51:41
      1 12:51:44
      1 12:51:45
      1 12:51:46
      1 12:51:47
      1 12:51:48
      1 12:51:49
      1 12:51:50
      1 12:51:51
      1 12:51:52
      1 12:51:53
      1 12:51:54
      1 12:51:55
      1 12:51:56
      1 12:51:57
      1 12:51:58
      1 12:51:59
      1 12:52:00
      1 12:52:01
      1 12:52:02
      1 12:52:03
      1 12:52:04
      1 12:52:05
      1 12:52:06
      1 12:52:07
      1 12:52:08
      1 12:52:09
      1 12:52:10
      1 12:52:11
      1 12:52:12
      1 12:52:13
      1 12:52:14
      1 12:52:15
      1 12:52:16
      1 12:52:20
      1 12:52:21
      1 12:52:22
      1 12:52:23
      1 12:52:24
      1 12:52:25
      1 12:52:26
      1 12:52:27
      1 12:52:28
      1 12:52:29
      1 12:52:30
      1 12:52:31
      1 12:52:32
      1 12:52:33
      1 12:52:34
      1 12:52:35
      1 12:52:36
      1 12:52:37
      1 12:52:38
      1 12:52:39
      1 12:52:40
      1 12:52:41
      1 12:52:42
      1 12:52:43
      1 12:52:44
      1 12:52:45
      1 12:52:46
      1 12:52:47
      1 12:52:48
      1 12:52:49
      1 12:52:50
      1 12:52:51
      1 12:52:53
      1 12:52:54
      1 12:52:55
      1 12:52:56
      1 12:52:57
      1 12:52:58
      1 12:52:59
      1 12:53:00
      1 12:53:01
      1 12:53:02
      1 12:53:03
      1 12:53:04
      1 12:53:05
      1 12:53:06
      1 12:53:07
      1 12:53:08
      1 12:53:09
      1 12:53:10
      1 12:53:11
      1 12:53:12
      1 12:53:13
      1 12:53:14
      1 12:53:15
      1 12:53:16
      1 12:53:17
      1 12:53:18
      1 12:53:19
      1 12:53:20
      1 12:53:21
      1 12:53:22
      1 12:53:23
      1 12:53:24
      1 12:53:27
      1 12:53:28
      1 12:53:29
      1 12:53:30
      1 12:53:31
      1 12:53:32
      1 12:53:33
      1 12:53:34
      1 12:53:35
      1 12:53:36
      1 12:53:37
      1 12:53:38
      1 12:53:39
      1 12:53:40
      1 12:53:41
      1 12:53:42
      1 12:53:43
      1 12:53:44
      1 12:53:45
      1 12:53:46
      1 12:53:47
      1 12:53:48
      1 12:53:49
      1 12:53:50
      1 12:53:51
      1 12:53:52
      1 12:53:53
      1 12:53:54
      1 12:53:55
      1 12:53:56
      1 12:53:57
      1 12:53:58
      1 12:54:02
      1 12:54:03
      1 12:54:04
      1 12:54:05
      1 12:54:06
      1 12:54:07
      1 12:54:08
      1 12:54:09
      1 12:54:10
      1 12:54:11
      1 12:54:12
      1 12:54:13
      1 12:54:14
      1 12:54:15
      1 12:54:16
      1 12:54:17
      1 12:54:18
      1 12:54:19
      1 12:54:20
      1 12:54:21
      1 12:54:22
      1 12:54:23
      1 12:54:24
      1 12:54:25
      1 12:54:26
      1 12:54:27
      1 12:54:28
      1 12:54:29
      1 12:54:30
      1 12:54:31
      1 12:54:32
      1 12:54:33
      1 12:54:34
      1 12:54:37
